CLNT_ID,NO_SIMF,APPL_ID,AP_PRJ_IDENT,SITE_ID,CLNT_NAME,AD_NAME,AD_FIRST_NAME,STATUS_SIMF,CORR_ADDR,PHONE,FAX,SERVICE,SUBSERVICE,TRANS_TYPE,FREQ,FREQ_PAIR,NUM_STATION,ERP_PWR_DBM,EQ_PWR,GAIN,LOSS,BWIDTH,IB,IP,HDDP,HDLP,ZONA,STN_TYPE,EQUIP_TYPE,BHP,EQ_MFR,TX_EQP_ID,CONFIG_PLZN_CODE,EQ_MDL,ANT_MFR,ANT_MDL,HGT_ANT,AZIM,ELEV_ANGLE,MASTER_PLZN_CODE,EMIS_CLASS_1,STN_NAME,STN_ADDR,CALLSIGN,SID_LONG,SID_LAT,CIRCUIT_LEN,LAT_DEG,LAT_MIN,LAT_SEC,LAT_DIR_IND,LONG_DEG,LONG_MIN,LONG_SEC,LONG_DIR_IND,AREA_OF_SERVICE,MAX_COV_RADIUS,H_ASL,NUM_SETS,CURR_LIC_NUM,APPL_DATE,LICENCE_DATE,VALIDITY_DATE,UMUR_ISR,VILLAGE,CITY,DISTRICT,PROVINCE,SV_ID,SS_ID,TO_APPL_ID,TO_CLNT_ID,LINK_ID,MASA_LAKU,ARCHIV_DATE,TO_SITE_ID,STASIUN_LAWAN,RECEV_TYPE,TO_CALLSIGN,TO_LAT_DEG,TO_LAT_MIN,TO_LAT_SEC,TO_LAT_DIR_IND,TO_LONG_DEG,TO_LONG_MIN,TO_LONG_SEC,TO_LONG_DIR_IND,COST_CAT,AP_REQUEST_TYPE,TGL_QUERY
8071,0960826/1,02214629092020,2024MM31742,0002,"TELEKOMUNIKASI SELULAR, PT.",RIRIEK ADRIANSYAH,RIRIEK,Prelim. Canceled,"GEDUNG TELKOM LANDMARK TOWER MENARA 1 LT.1 ? 20 JL. JENDERAL GATOT SUBROTO KAV. 52, KUNINGAN BARATMAMPANG PRAPATAN KOTA JAKARTA SELATAN DKI JAKARTA 12710",0215240811,-,Fixed Service,PP,Transmitter,7170,7331,1,63.4897,.5,40.5,1,28000,.06,.29,0,0,Z4,,,,NEC,E1455931,V,IPASOLINK1000_7GHZ,Radio Frequency System (RFS),DA6-W71BC_V,40,77.1663964403889,-.0542071132979462,V,7G17D7W,KDI053_WANGGUDU,Jl. La Asamana Pungomosi Desa Wanggudu Kel. Andowia Kec. Asera Kab. Konawe Utara,,122.11138,-3.52001,17.98,3,31,12.036,S,122,6,40.968,E,"Jl. La Asamana Pungomosi Desa Wanggudu Kel. Andowia Kec. Asera Kab. Konawe Utara,ANDOWIA,KONAWE UTARA,SULAWESI TENGGARA",,100,1,,05-MAR-24,05-MAR-24,11-SEP-25,1,,ANDOWIA,KONAWE UTARA,SULAWESI TENGGARA,2,200,02214629092020,8071,15295291,11-SEP-25,,0001,KDI049_HARITA TANJUNG KARANG,,,3,29,2.796,S,122,16,9.12,E,,N,04-MAY-25
00105553,0975780,02230020102020,2020PP010055,0002,TELEKOMUNIKASI INDONESIA TBK,,,Granted,JL. GATOT SUBROTO KAV. 52 GRAHA MERAH PUTIH LT. 3MAMPANG PRAPATAN KOTA JAKARTA SELATAN DKI JAKARTA 12790,021-5215445,021-5215457,Fixed Service,PP,Transmitter,14907,14417,,55.0206,.04,43,1,28000,.06,.29,17873,1936,Z5,1,,1768830,NEC Corporation,E1812820,V,NEC iPasolink VR10 Radio Frekuensi,ANDREW CORPORATION,VHLPX4-15_V,55,4.50548203748938,-.372791841476046,V,,RHA003_KABAENA,"JL. POROS SIKELI - TEOMOKOLE, DS. RAHAMPULU, KEC. KABAENA, KAB. BOMBANA, SULAWESI TENGGARA",,121.81033889,-5.26976944,3.31,5,16,11.17,S,121,48,37.22,E,"JL. POROS SIKELI - TEOMOKOLE, DS. RAHAMPULU, KEC. KABAENA, KAB. BOMBANA, SULAWESI TENGGARA, BOMBANA, KABAENA, SULAWESI TENGGARA",,100,1,02350674-000SU/2620202025,01-OCT-20,02-OCT-20,01-OCT-25,4,,BOMBANA,KABAENA,SULAWESI TENGGARA,2,200,02230020102020,00105553,12262378,01-OCT-25,,0001,RHA032_DMT BALIARA,Receiver,,5,14,23.75,S,121,48,45.72,E,,N,04-MAY-25
00105553,0975781,02230021102020,2020PP010055,0002,TELEKOMUNIKASI INDONESIA TBK,,,Granted,JL. GATOT SUBROTO KAV. 52 GRAHA MERAH PUTIH LT. 3MAMPANG PRAPATAN KOTA JAKARTA SELATAN DKI JAKARTA 12790,021-5215445,021-5215457,Fixed Service,PP,Transmitter,15243,14753,,55.0206,.04,43,1,28000,.06,.29,17873,1936,Z5,1,,1768830,NEC Corporation,E1812820,V,NEC iPasolink VR10 Radio Frekuensi,ANDREW CORPORATION,VHLPX4-15_V,55,4.50548203748938,-.372791841476046,V,,RHA003_KABAENA,"JL. POROS SIKELI - TEOMOKOLE, DS. RAHAMPULU, KEC. KABAENA, KAB. BOMBANA, SULAWESI TENGGARA",,121.81033889,-5.26976944,3.31,5,16,11.17,S,121,48,37.22,E,"JL. POROS SIKELI - TEOMOKOLE, DS. RAHAMPULU, KEC. KABAENA, KAB. BOMBANA, SULAWESI TENGGARA, BOMBANA, KABAENA, SULAWESI TENGGARA",,100,1,02351034-000SU/2620202025,01-OCT-20,02-OCT-20,01-OCT-25,4,,BOMBANA,KABAENA,SULAWESI TENGGARA,2,200,02230021102020,00105553,12262380,01-OCT-25,,0001,RHA032_DMT BALIARA,Receiver,,5,14,23.75,S,121,48,45.72,E,,N,04-MAY-25
00105553,1000131/1,02255561112020,,0001,TELEKOMUNIKASI INDONESIA TBK,,,Granted,JL. GATOT SUBROTO KAV. 52 GRAHA MERAH PUTIH LT. 3MAMPANG PRAPATAN KOTA JAKARTA SELATAN DKI JAKARTA 12790,021-5215445,021-5215457,Fixed Service,PP,Transmitter,6700,7040,1,57.0206,.5,42,1,40000,.06,.29,0,0,Z5,,,,NEC Corporation,E2083135,H,NEC iPasolink VR10 Radio Frekuensi,ANDREW  CORPORATION,HPX8-65_H,75,359.303671045786,-.198080889291817,H,,RHA003_KABAENA,"JL. POROS SIKELI - TEOMOKOLE, DS. RAHAMPUU, KEC. KABAENA, KAB. BOMBANG",,121.81034,-5.26977,48.327,5,16,11.172,S,121,48,37.224,E,"JL. POROS SIKELI - TEOMOKOLE, DS. RAHAMPUU, KEC. KABAENA, KAB. BOMBANG, BOMBANA, KABAENA, SULAWESI TENGGARA",,100,1,02375234-000SU/2620202025,26-MAR-24,26-MAR-24,05-NOV-25,1,,BOMBANA,KABAENA,SULAWESI TENGGARA,2,200,02255561112020,00105553,15334707,05-NOV-25,,0002,ADL013_POLEANG TIMUR,,,4,49,58.008,S,121,48,18.036,E,,N,04-MAY-25
00105553,1000130/1,02255560112020,,0001,TELEKOMUNIKASI INDONESIA TBK,,,Granted,JL. GATOT SUBROTO KAV. 52 GRAHA MERAH PUTIH LT. 3MAMPANG PRAPATAN KOTA JAKARTA SELATAN DKI JAKARTA 12790,021-5215445,021-5215457,Fixed Service,PP,Transmitter,6580,6920,1,57.0206,.5,42,1,40000,.06,.29,0,0,Z5,,,,NEC Corporation,E2083131,H,NEC iPasolink VR10 Radio Frekuensi,ANDREW  CORPORATION,HPX8-65_H,75,359.303671045786,-.198080889291817,H,,RHA003_KABAENA,"JL. POROS SIKELI - TEOMOKOLE, DS. RAHAMPUU, KEC. KABAENA, KAB. BOMBANG",,121.81034,-5.26977,48.327,5,16,11.172,S,121,48,37.224,E,"JL. POROS SIKELI - TEOMOKOLE, DS. RAHAMPUU, KEC. KABAENA, KAB. BOMBANG, BOMBANA, KABAENA, SULAWESI TENGGARA",,100,1,02375230-000SU/2620202025,26-MAR-24,26-MAR-24,05-NOV-25,1,,BOMBANA,KABAENA,SULAWESI TENGGARA,2,200,02255560112020,00105553,15334700,05-NOV-25,,0002,ADL013_POLEANG TIMUR,,,4,49,58.008,S,121,48,18.036,E,,N,04-MAY-25
00105553,1000115/3,02255554112020,,0001,TELEKOMUNIKASI INDONESIA TBK,,,Granted,JL. GATOT SUBROTO KAV. 52 GRAHA MERAH PUTIH LT. 3MAMPANG PRAPATAN KOTA JAKARTA SELATAN DKI JAKARTA 12790,021-5215445,021-5215457,Fixed Service,PP,Transmitter,6460,6800,1,64.9897,.5,42,1,40000,.06,.29,0,0,Z5,,,,NEC Corporation,E2083129,H,NEC iPasolink VR10 Radio Frekuensi,ANDREW  CORPORATION,HPX8-65_H,75,359.303671045786,-.198080889291817,H,,RHA003_KABAENA,"JL. POROS SIKELI - TEOMOKOLE, DS. RAHAMPUU, KEC. KABAENA, KAB. BOMBANG",,121.81034,-5.26977,48.327,5,16,11.172,S,121,48,37.224,E,"JL. POROS SIKELI - TEOMOKOLE, DS. RAHAMPUU, KEC. KABAENA, KAB. BOMBANG,BOMBANA,KABAENA,SULAWESI TENGGARA,RAHAMPUU",,100,1,02373726-000SU/2620202025,17-JUL-24,17-JUL-24,05-NOV-25,0,,BOMBANA,KABAENA,SULAWESI TENGGARA,2,200,02255554112020,00105553,15478815,05-NOV-25,,0002,ADL013_POLEANG TIMUR,,,4,49,58.008,S,121,48,18.036,E,,N,04-MAY-25
8071,3527744,02046849092024,2024MM113190,0001,"TELEKOMUNIKASI SELULAR, PT.",RIRIEK ADRIANSYAH,RIRIEK,Granted,"GEDUNG TELKOM LANDMARK TOWER MENARA 1 LT.1 ? 20 JL. JENDERAL GATOT SUBROTO KAV. 52, KUNINGAN BARATMAMPANG PRAPATAN KOTA JAKARTA SELATAN DKI JAKARTA 12710",0215240811,-,Fixed Service,PP,Transmitter,14641,15131,1,59.6897,.5,36.7,1,28000,.06,.29,0,0,Z5,,,,NEC,E2212012,V,IPASOLINK400_15GHZ,NEC ANTEN,ASL2-145DS_V,42,100.143101277359,-.475605417948864,V,14G6D7W,RHA003_KABAENA,"Jl. Poros Sikeli - Teomokole, Ds. Rahampuu, Kec. Kabaena, Kab. Bombang",,121.81031111,-5.26981111,3.082,5,16,11.32,S,121,48,37.12,E,"Jl. Poros Sikeli - Teomokole, Ds. Rahampuu, Kec. Kabaena, Kab. Bombang,BOMBANA,KABAENA,SULAWESI TENGGARA",,,1,02918481-000SU/2620242029,10-SEP-24,24-SEP-24,22-SEP-29,0,RAHAMPUU,BOMBANA,KABAENA,SULAWESI TENGGARA,2,200,02046849092024,8071,15579924,23-SEP-25,,0002,COI767_COMBAT TEOMOKOLE,,,5,16,28.875,S,121,50,15.675,E,,N,04-MAY-25
8071,0668039/2,020361122018,2024MM107358,0002,"TELEKOMUNIKASI SELULAR, PT.",RIRIEK ADRIANSYAH,RIRIEK,Granted,"GEDUNG TELKOM LANDMARK TOWER MENARA 1 LT.1 ? 20 JL. JENDERAL GATOT SUBROTO KAV. 52, KUNINGAN BARATMAMPANG PRAPATAN KOTA JAKARTA SELATAN DKI JAKARTA 12710",0215240811,-,Fixed Service,PP,Transmitter,7895.95,8207.27,1,65.8897,.5,42.9,1,29650,.06,.29,0,0,Z5,,,,NEC,E2197990,H,IPASOLINK1000_8GHZ,ANDREW  CORPORATION,HPX8-71W_H,40,359.264911259486,-.194470836189727,H,7G90D7W,RHA003_Kabaena,"Jl. Poros Sikeli - Teomokole, Ds. Rahampuu, Kec. Kabaena, Kab. Bombang",,121.81031111,-5.26981111,48.301,5,16,11.32,S,121,48,37.12,E,"Jl. Poros Sikeli - Teomokole, Ds. Rahampuu, Kec. Kabaena, Kab. Bombang,BOMBANA,KABAENA,SULAWESI TENGGARA",,,1,,22-AUG-24,22-AUG-24,13-DEC-28,0,RAHAMPUU,BOMBANA,KABAENA,SULAWESI TENGGARA,2,200,020361122018,8071,15551605,13-DEC-25,,0001,ADL013_Poleang Timur,,,4,49,59.025,S,121,48,16.875,E,,N,04-MAY-25
8071,1054094/2,02307159012021,2024MM105403,0002,"TELEKOMUNIKASI SELULAR, PT.",RIRIEK ADRIANSYAH,RIRIEK,Prelim. Canceled,"GEDUNG TELKOM LANDMARK TOWER MENARA 1 LT.1 ? 20 JL. JENDERAL GATOT SUBROTO KAV. 52, KUNINGAN BARATMAMPANG PRAPATAN KOTA JAKARTA SELATAN DKI JAKARTA 12710",0215240811,-,Fixed Service,PP,Transmitter,8177.62,7866.3,1,57.71241,.48,30.9,0,29650,.06,.29,0,0,Z5,,,,NEC,E2193785,V,PASOLINK NEO 8G STM-1,ANDREW CORPORATION,VHLP2-71W_V,40,23.6372488059155,-.105295907277616,V,8G18D7W,RHA003_Kabaena,"Jl. Poros Sikeli - Teomokole, Ds. Rahampuu, Kec. Kabaena, Kab. Bombang",,121.81031111,-5.26981111,17.944,5,16,11.32,S,121,48,37.12,E,"Jl. Poros Sikeli - Teomokole, Ds. Rahampuu, Kec. Kabaena, Kab. Bombang,BOMBANA,KABAENA,SULAWESI TENGGARA",,,1,,19-AUG-24,19-AUG-24,18-JAN-26,0,RAHAMPUU,BOMBANA,KABAENA,SULAWESI TENGGARA,2,200,02307159012021,8071,15544504,18-JAN-26,,0001,ADL153_BMT Tedubara,,,5,7,16.725,S,121,52,32.025,E,,N,04-MAY-25
8071,1557222/2,02690743102022,2024MM130293,0001,"TELEKOMUNIKASI SELULAR, PT.",RIRIEK ADRIANSYAH,RIRIEK,Granted,"GEDUNG TELKOM LANDMARK TOWER MENARA 1 LT.1 ? 20 JL. JENDERAL GATOT SUBROTO KAV. 52, KUNINGAN BARATMAMPANG PRAPATAN KOTA JAKARTA SELATAN DKI JAKARTA 12710",0215240811,-,Fixed Service,PP,Transmitter,7442,7603,1,60.1897,.5,37.2,1,28000,.06,.29,0,0,Z5,,,,NEC,E2254298,V,IPASOLINK400_7GHZ,NEC ANTEN,ASL4-W71NS_V,40,,,V,7G44D7W,RHA003_Kabaena,"Jl. Poros Sikeli - Teomokole, Ds. Rahampuu, Kec. Kabaena, Kab. Bombang",,121.81031111,-5.26981111,48.301,5,16,11.32,S,121,48,37.12,E,"Jl. Poros Sikeli - Teomokole, Ds. Rahampuu, Kec. Kabaena, Kab. Bombang,BOMBANA,KABAENA,SULAWESI TENGGARA",,,1,,07-NOV-24,07-NOV-24,17-OCT-27,0,RAHAMPUU,BOMBANA,KABAENA,SULAWESI TENGGARA,2,200,02690743102022,8071,15666923,17-OCT-25,,0002,ADL013_Poleang Timur,,,4,49,59.025,S,121,48,16.875,E,,N,04-MAY-25
